Model,Segment Length,Mean Val Loss,Std Dev
models_len150,150,0.24328424036502838,0.005453892321982074
models_len200,200,0.2485819786787033,0.006107823697051048
models_len240,240,0.24921413958072663,0.005209898744989631
models_len295,295,0.2544645369052887,0.0039236461390605775
models_len350,350,0.24456976354122162,0.005581915982674664
