epoch,loss,val_loss
0,0.3967357873916626,0.2824952006340027
1,0.27721160650253296,0.26458173990249634
2,0.26761361956596375,0.25903189182281494
3,0.2632392346858978,0.25483238697052
4,0.260055273771286,0.25240558385849
5,0.2578808069229126,0.25077757239341736
6,0.255802720785141,0.2499469667673111
7,0.2549161911010742,0.2490575909614563
8,0.2542828321456909,0.24763552844524384
9,0.25421956181526184,0.2480633407831192
10,0.25374147295951843,0.24700863659381866
11,0.25359854102134705,0.24672934412956238
12,0.2529265880584717,0.24702861905097961
13,0.252642422914505,0.24785107374191284
14,0.2525564730167389,0.2465791255235672
15,0.25160303711891174,0.2457001656293869
16,0.251539409160614,0.24675534665584564
17,0.2510422468185425,0.24562448263168335
18,0.2509557008743286,0.24646314978599548
19,0.25060468912124634,0.2460930049419403
20,0.25124070048332214,0.2465103715658188
21,0.25051426887512207,0.24583305418491364
22,0.25047141313552856,0.2457238733768463
23,0.25023767352104187,0.2459896206855774
24,0.25044190883636475,0.2460876852273941
25,0.2501605451107025,0.24603933095932007
26,0.2504921853542328,0.24737799167633057
27,0.25005969405174255,0.24593140184879303
